Daysrec,CK,AST,Urea,PCV,Outcome
1,3000,590,10.9,41,1
0,600,207,8.1,31,0
1,590,113,14.6,43,0
2,1800,243,12.3,48,0
4,1300,303,3.1,30,0
1,830,93,6.5,37,1
0,2700,240,9.9,30,0
1,1800,740,5.8,34,0
4,200,80,5.8,34,0
0,7400,490,5.6,23,0
2,620,150,7.6,35,1
1,140,67,8.6,33,1
2,500,107,5.5,41,1
2,160,83,15.3,31,0
0,91,213,7.1,27,1
0,680,90,11.6,19,1
6,4200,527,9,31,0
1,2600,480,9.5,32,0
1,13000,2400,7.5,42,0
2,13000,450,3.9,29,0
1,980,150,6,39,0
3,2600,910,4.2,20,0
3,2300,590,6.1,34,0
0,286,57,5.6,35,1
0,1106,143,11.8,47,1
0,20,33,8.9,30,0
3,521,133,8.5,31,0
0,32670,740,11.8,48,0
0,325,120,14.5,38,0
2,980,173,4.8,38,1
0,8057,347,12.9,27,0
1,3905,203,12.3,37,0
3,3085,227,7.2,33,1
1,3905,240,1,27,0
0,2668,200,10.4,34,0
0,130,87,6.7,32,1
0,260,140,6.5,42,1
0,2323,167,6.1,41,1
0,35000,1900,5.2,40,0
4,1302,453,5,37,0
0,5206,423,6.6,24,0
0,443,74,9.2,38,0
3,3300,370,4.2,35,0
0,390,53,9.3,35,1
2,390,107,9.8,35,1
1,3449,243,11.7,39,0
0,640,53,5.1,33,1
1,340,130,8.5,30,0
0,52,47,7.2,39,1
0,2700,310,9.8,30,0
0,230,160,5.6,34,1
1,36000,440,9.8,51,0
1,1341,80,9.6,33,1
2,4165,713,7.2,40,0
4,2500,510,11,40,0
1,2700,150,50,47,0
0,400,100,6.4,40,1
0,21000,590,7.1,40,0
2,32930,683,30,41,0
2,3775,163,3,42,1
1,54016,937,26,34,0
2,2603,660,7,31,0
1,10673,517,17.2,32,0
5,1302,187,4.5,32,1
0,716,163,7,42,1
1,1367,213,10.5,38,1
4,1431,430,10,35,0
4,3153,253,4.8,35,1
1,11844,676,20.9,43,0
2,240,143,3,32,1
3,355,123,6,27,1
0,7874,313,10.1,32,1
0,210,175,21,34,0
1,3990,312,12,38,0
1,2900,447,14.3,36,0
0,260,147,8.4,32,1
3,540,253,4,31,1
1,260,133,7.6,35,1
2,230,130,15.7,61,0
2,911,180,4.6,36,0
0,960,180,8.9,34,1
3,1200,180,5.7,33,0
0,810,110,8.8,34,1
4,1600,500,3.5,29,0
0,570,120,7.6,37,1
1,612,110,9.1,36,0
4,5700,580,27.8,35,0
0,350,67,3.9,33,1
0,2864,270,12.7,46,0
1,2343,130,4.4,36,0
1,3254,323,4.9,26,0
0,390,80,5.8,33,1
1,460,97,6.7,38,0
1,1800,140,4.3,41,1
0,72,50,6.3,31,1
7,260,297,3.8,38,0
7,200,177,4.1,29,0
0,520,157,15.3,43,0
3,39000,1133,28.8,38,0
2,1822,193,9.5,45,0
5,3644,567,6,29,0
1,350,237,11.5,40,0
0,905,237,11.1,38,0
0,436,137,29,41,0
2,9100,193,10.2,38,0
2,677,83,5.4,29,0
0,202,52,7.1,32,0
1,16791,720,25.9,44,0
3,5857,773,13,37,0
0,1041,160,17.2,26,0
1,447,90,4.9,29,1
0,130,100,7.6,40,1
1,2900,144,7.7,37,1
7,149,122,3.3,30,0
0,4620,166,11.2,33,0
2,3620,319,9.5,28,0
1,3300,117,14.1,48,1
3,3620,164,6.5,36,0
1,14900,267,32.8,37,0
1,4560,156,33.6,33,0
0,5080,332,4.6,37,1
4,5980,492,4.1,40,0
2,4120,572,12,46,0
2,2040,584,8.3,27,1
0,1425,303,5.1,19,0
5,2540,700,5.5,38,0
2,4440,462,10,35,1
0,1320,336,17.6,46,0
1,1220,287,6.1,39,1
1,1640,470,9.9,20,0
1,14080,990,8.2,41,0
0,4800,152,12.1,35,0
1,332,76,8.7,42,1
0,251,155,5.5,33,1
0,487,101,8.3,35,1
4,13960,860,7.2,39,0
2,30480,960,15,43,0
4,474,126,4.9,39,1
1,8570,365,17.5,46,0
1,28660,1300,17,44,0
2,5560,1020,4.8,35,1
0,7440,290,21.3,39,0
0,1125,87,6.4,30,0
4,2140,247,9.3,39,1
2,400,47,24.8,42,0
1,4600,305,10.5,48,0
0,382,860,15.1,41,0
1,3490,231,16.3,34,0
1,286,50,4.8,29,0
2,27160,1240,19.7,38,0
2,36,93,8.4,13,0
2,1120,139,5.7,32,0
0,5400,260,9.1,19,0
4,26560,1160,39,33,0
1,845,383,5.7,43,0
2,1700,339,4.8,26,1
0,119,52,5.1,37,1
0,316,162,9.7,37,1
0,784,258,9.2,21,0
3,34960,2080,7.9,39,0
6,493,169,5.4,32,0
0,1507,133,8.4,41,0
1,53,48,7.2,27,1
1,998,353,6.2,34,0
0,250,73,9.6,35,0
